"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
"#","9051B","99900905175","H",47.95,$287.70,"CASAMIGOS BLANCO W/ GIFT",0.00
,"9056B","99900905675","H",28.95,$173.70,"LARCENY HOLIDAY VAP",4.00
,"9059D","99900905920","H",45.95,$275.70,"HEAVEN'S DOOR TRILOGY PACK",4.00-
,"9062B","99900906275","H",24.95,$149.70,"MIDNIGHT MOON PEPPERMINT W",5.00
"#","9066B","99900906675","H",14.95,$119.60,"FIREBALL TRICK OR TREAT",9.95
"#","9076E","99900907637","V",13.95,$83.70,"10 BARREL LONG DRINK 4-PK",0.00
"#","9143B","99900914375","D",27.95,$167.70,"DORDA COCONUT LIQUEUR",0.00
"#","9148B","99900914875","D",21.95,$263.40,"CAMPO BRAVO PLATA TEQUILA",0.00
"#","9149B","99900914975","D",14.95,$179.40,"REVEL STOKE SON OF A PEACH",0.00
"#","9151E","99900915137","D",9.95,$59.70,"WESTERN SON BLUBRY LEM 4PK",0.00
"#","9152E","99900915237","D",9.95,$59.70,"WESTERN SON SCREWDRIVER 4P",0.00
"#","9177B","99900917775","T",25.95,$155.70,"OLYMPIA ARTESIAN VODKA",0.00
,"9228B","99900922875","R",27.95,$335.40,"HOWLER HEAD",3.00
,"9249B","99900924975","T",24.95,$299.40,"KAHLUA BLONDE",5.00
"#","9259B","99900925975","T",25.60,$153.60,"TAMARELO LIQUEUR",1.75
"#","9283B","99900928375","T",34.95,$209.70,"MCQUEEN & THE VIOLET FOG",2.00-
,"9303B","99900930375","R",21.95,$131.70,"BIRD DOG PEANUT BUTTER WHI",2.00
"#","9368B","99900936875","V",24.95,$149.70,"WARRIOR TANGERINE HONEY WH",0.00
"#","9403B","99900940375","D",107.95,$647.70,"COMPASS BOX PEAT MONSTER",2.00-
"#","9449B","99900944975","D",197.95,"$1,187.70","COMPASS BOX MAGIC CASK",2.00-
,"9462B","99900946275","V",177.95,"$1,067.70","TLAMATI TEQUILANA WEBER",2.00-
,"9492B","99900949275","B",35.95,$431.40,"CIROC SUMMER CITRUS",6.00
"#","9502H","99900950217","D",15.95,$95.70,"JOSE CUERVO STRAWBERRY LT.",0.00
,"9515E","99900951537","V",10.90,$65.40,"BACARDI LIME & SODA 4 PK C",2.05-
"%","9628B","99900962875","T",16.95,$203.40,"JIM BEAM ORANGE",2.00-
"#","9635B","99900963575","D",147.95,$887.70,"COMPASS BOX MENAGERIE",2.00-
"#","9703B","99900970375","V",24.95,$149.70,"WARRIOR HUCKLEBERRY CREAM",0.00
"#","9704B","99900970475","V",24.95,$149.70,"WARRIOR PEANUT BUTTER CREA",0.00
,"9796B","99900979675","S",180.95,$542.85,"CASA DRAGONES ANEJO",31.00
"#","9828F","99900982805","D",1.50,$180.00,"PAUL MASSON APPLE GRAND AM",0.00
,"9831B","99900983175","S",21.95,$131.70,"BIRD DOG JALAPENO HONEY",2.00
,"9851B","99900985175","S",40.10,$240.60,"KLEOS MASTIHA SPIRIT",3.15
,"9879B","99900987975","B",14.95,$179.40,"MONOPOLOWA HOLIDAY GIFT",2.00-
,"9892B","99900989275","H",21.95,$131.70,"BIRD DOG BLACK CHERRY VAP",2.00
,"9893B","99900989375","H",21.95,$131.70,"BIRD DOG BLACKBERRY VAP",2.00
,"9894B","99900989475","H",21.95,$131.70,"BIRD DOG PEACH VAP",2.00
,"10112E","99901011237","M",14.95,$89.70,"503 RED BERRY CRUSH (4-C)",5.00-
"#","10130B","99901013075","D",177.95,"$1,067.70","COMPASS BOX CANVAS",2.05-
,"10132E","99901013237","M",35.95,$431.40,"SPIRITOPIA PEAR BRANDY",6.00
"#","10159B","99901015975","D",177.95,"$1,067.70","COMPASS BOX NO NAME NO.3",2.00-
,"10165B","99901016575","T",21.95,$131.70,"BIRD DOG SALTED CARAMEL",2.00
,"10184B","99901018475","T",29.95,$179.70,"JAMESON ORANGE",2.00
